is_number,product_name,category,qco_name,scheme,mandatory,notification_ref,source_file,clause_ref,page_number
IS 269,"Ordinary Portland Cement (33, 43, 53 grade)",Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.1 & Table 1,2
IS 455,Portland Slag Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.2,3
IS 1489 (Part 1),Portland Pozzolana Cement - Part 1 Fly-ash based,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.3,4
IS 1489 (Part 2),Portland Pozzolana Cement - Part 2 Calcined clay based,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.4,4
IS 12330,Sulphate Resisting Portland Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.5 & Annexure B,5
IS 8041,Rapid Hardening Portland Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.6,6
IS 8042,White Portland Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.7,7
IS 8043,Hydrophobic Portland Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.8,8
IS 6909,Supersulphated Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.9,8
IS 3466,Masonry Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.10,9
IS 12600,Low Heat Portland Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.11,10
IS 16415,Composite Cement,Cement & Building Materials,"Cement (Quality Control) Order, 2003",Scheme-I (ISI Mark),True,S.O. 191(E),scheme1-specific-guidelines.pdf,Clause 3.12,11
IS 1786,High Strength Deformed Steel Bars & Wires for Concrete Reinforcement (TMT Steel Bars),Steel & Metallurgy,"Steel and Steel Products (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,Steel-QCO-2020 / S.O. 1673(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",12
IS 2062,Hot Rolled Medium and High Tensile Structural Steel,Steel & Metallurgy,"Steel and Steel Products (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,Steel-QCO-2020,scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",14
IS 2830,"Carbon Steel Cast Billet Ingots, Billets, Blooms and Slabs for Re-rolling",Steel & Metallurgy,"Steel and Steel Products (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,Steel-QCO-2020,scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 4",15
IS 277,Galvanized Steel Sheets (Plain and Corrugated),Steel & Metallurgy,"Steel and Steel Products (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,Steel-QCO-2020,scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 5",18
IS/IEC 62368: Part 1: 2023,"Audio/Video, Information and Communication Technology Equipment (Laptops, Tablets, TVs)",Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY CRO Notif. S.O. 1248(E),scheme2-registration-guidelines.pdf,Clause 4.1 & Annexure-I Item 1-4,6
IS/IEC 62368: Part 1: 2023,Smart Watches & Wearable Connected Devices,Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY Phase-IV S.O. 3410(E),scheme2-registration-guidelines.pdf,Clause 4.2 & Item 44,8
IS/IEC 62368: Part 1: 2023,Electronic Games (Video Consoles),Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2012",Scheme-II (CRO),True,MeitY S.O. 2357(E),scheme2-registration-guidelines.pdf,Clause 4.1 & Item 1,5
IS/IEC 62368: Part 1: 2023,Plasma / LCD / LED Television of screen size up-to 32 inch,Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY CRO Notif.,scheme2-registration-guidelines.pdf,Clause 4.3 & Item 7,7
IS/IEC 62368: Part 1: 2023,CCTV Cameras and CCTV Recorders,Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY CRO Notif.,scheme2-registration-guidelines.pdf,Clause 4.5 & Item 51,9
IS/IEC 62368: Part 1: 2023,Wireless Headphones and Earphones (TWS / Bluetooth),Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY Phase-V S.O. 1120(E),scheme2-registration-guidelines.pdf,Clause 4.7 & Item 54,11
IS/IEC 62368: Part 1: 2023,USB Type External Solid-State Storage Devices & External Hard Disk Drives,Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY CRO Notif.,scheme2-registration-guidelines.pdf,Clause 4.8 & Item 56,12
IS/IEC 62368: Part 1: 2023,Automatic Teller Cash Dispensing Machines (ATM),Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY CRO Notif.,scheme2-registration-guidelines.pdf,Clause 4.9 & Item 58,14
IS 16333 (Part 3),Mobile Phone Handsets - Indian Language Support Specific Requirements,Electronics & IT Goods,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY Notif. S.O. 3141(E),scheme2-registration-guidelines.pdf,Clause 5.1 & Annexure-II,16
IS 16242 (Part 1): 2014,General and Safety Requirements for UPS / Inverters (rating <= 10kVA),Power & Energy,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY CRO Notif.,scheme2-registration-guidelines.pdf,Clause 5.4 & Item 12,17
IS 10322 (Part 5/Sec 2): 2012,Recessed LED Luminaires,Electrical & Lighting,"Electrical Equipment (Quality Control) Order, 2021",Scheme-II (CRO),True,DPIIT QCO S.O. 1891(E),scheme2-registration-guidelines.pdf,Clause 6.1 & Schedule-I,19
IS 10322 (Part 5/Sec 3): 2012,LED Luminaires for Road and Street Lighting,Electrical & Lighting,"Electrical Equipment (Quality Control) Order, 2021",Scheme-II (CRO),True,DPIIT QCO S.O. 1891(E),scheme2-registration-guidelines.pdf,Clause 6.2 & Schedule-I,20
IS 10322 (Part 5/Sec 5): 2013,LED Flood Lights,Electrical & Lighting,"Electrical Equipment (Quality Control) Order, 2021",Scheme-II (CRO),True,DPIIT QCO S.O. 1891(E),scheme2-registration-guidelines.pdf,Clause 6.3 & Schedule-I,21
IS 16103 (Part 1): 2012,Standalone LED Modules for General Lighting,Electrical & Lighting,"Electronics and Information Technology Goods (CRO) Order, 2021",Scheme-II (CRO),True,MeitY Notif. S.O. 2020,scheme2-registration-guidelines.pdf,Clause 6.4,22
IS 694,PVC Insulated Cables for Working Voltages up to and including 1100V,Electrical & Lighting,"Cables (Quality Control) Order, 2021",Scheme-I (ISI Mark),True,DPIIT QCO S.O. 450(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",24
IS 302 (Part 2/Sec 6): 2009,Induction Stove (Household Electrical Cooking),Household Appliances,Safety of Household and Similar Electrical Appliances Order,Scheme-II (CRO),True,MeitY Notif. 2021,scheme2-registration-guidelines.pdf,Clause 7.1 & Item 49,23
IS 302 (Part 2/Sec 15): 2009,Electric Rice Cooker & Liquid Heating Appliances,Household Appliances,Safety of Household and Similar Electrical Appliances Order,Scheme-II (CRO),True,MeitY Notif. 2021,scheme2-registration-guidelines.pdf,Clause 7.2 & Item 50,24
IS 302 (Part 1): 2008,Adapters for Household and Similar Electrical Appliances,Household Appliances,Safety of Household Electrical Appliances Order,Scheme-II (CRO),True,MeitY Notif. 2021,scheme2-registration-guidelines.pdf,Clause 7.3 & Item 52,25
IS 302 (Part 2/Sec 3),Electric Iron (Dry and Steam),Household Appliances,"Electrical Appliances (Quality Control) Order, 2023",Scheme-I (ISI Mark),True,DPIIT QCO S.O. 119(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",26
IS 2347,Domestic Pressure Cookers,Household Appliances,"Domestic Pressure Cooker (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,DPIIT QCO S.O. 450(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",28
IS 3196 (Part 1),Welded Low Carbon Steel Gas Cylinders for Low Pressure Liquefiable Gases (LPG Cylinders),Gas Cylinders & Pressure Vessels,"Gas Cylinders (Quality Control) Order, 2019",Scheme-I (ISI Mark),True,PESO / DPIIT QCO S.O. 3824(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",32
IS 3196 (Part 2),Welded Low Carbon Steel Cylinders Exceeding 5 Litre Water Capacity for Low Pressure Liquefiable Gases,Gas Cylinders & Pressure Vessels,"Gas Cylinders (Quality Control) Order, 2019",Scheme-I (ISI Mark),True,PESO / DPIIT QCO S.O. 3824(E),scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",33
IS 3224,Valve Fittings for Compressed Gas Cylinders (Excluding LPG),Gas Cylinders & Pressure Vessels,"Gas Cylinders (Quality Control) Order, 2019",Scheme-I (ISI Mark),True,PESO QCO,scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",35
IS 8737,Valve Fittings for Use with Domestic LPG Cylinders,Gas Cylinders & Pressure Vessels,"Gas Cylinders (Quality Control) Order, 2019",Scheme-I (ISI Mark),True,PESO QCO,scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 3",36
IS 7285 (Part 1),Refillable Seamless Steel Gas Cylinders - Normalized Steel,Gas Cylinders & Pressure Vessels,"Gas Cylinders (Quality Control) Order, 2019",Scheme-I (ISI Mark),True,PESO QCO,scheme1-ISI-mark.pdf,"Schedule II, Scheme I - Regulation 4",38
IS 14625,Plastic Feeding Bottles for Infants,Child & Infant Care,"Feeding Bottles (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,DPIIT QCO S.O. 2932(E),qco-guidance.pdf,Clause 2 & Schedule,2
IS 9873 (Part 1),Safety of Toys - Mechanical and Physical Properties,Toys & Children Goods,"Toys (Quality Control) Order, 2020",Scheme-I (ISI Mark),True,DPIIT Toys QCO S.O. 858(E),qco-guidance.pdf,Clause 3 & Table 1,2
